Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
449,Ish Smith\smithis01,PG,32,WAS,27,1,20.1,2.6,6.2,.423,0.3,1.0,.346,2.3,5.3,.437,.449,0.4,0.7,.526,0.4,2.9,3.3,4.2,0.7,0.2,1.0,1.1,6.0
450,Jalen Smith\smithja04,PF,20,PHO,19,0,4.3,0.5,1.4,.370,0.1,0.5,.200,0.4,0.9,.471,.407,0.1,0.2,.333,0.3,0.6,0.8,0.1,0.0,0.1,0.3,0.5,1.2
451,Tony Snell\snellto01,SG,29,ATL,40,18,21.0,1.9,3.7,.517,1.4,2.5,.571,0.5,1.2,.408,.707,0.3,0.3,1.000,0.4,2.0,2.4,1.3,0.2,0.3,0.5,1.6,5.5
452,Ray Spalding\spaldra01,C,23,HOU,2,0,9.5,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,1.0,.000,1.0,1.0,2.0,0.0,0.0,1.0,1.5,1.5,2.0
453,Cassius Stanley\stanlca01,SG,21,IND,15,0,2.5,0.3,1.3,.263,0.1,0.4,.167,0.3,0.9,.308,.289,0.3,0.3,.800,0.3,0.4,0.7,0.0,0.0,0.1,0.1,0.5,1.0
454,Lamar Stevens\stevela01,PF,23,CLE,38,0,12.8,1.6,3.6,.452,0.1,0.7,.160,1.5,2.9,.518,.467,1.0,1.3,.725,0.6,1.9,2.5,0.6,0.4,0.3,0.6,1.3,4.3
455,Isaiah Stewart\stewais01,C,19,DET,54,5,20.0,3.0,5.2,.577,0.2,0.5,.407,2.8,4.7,.595,.597,0.7,1.1,.650,2.3,3.9,6.2,0.9,0.5,1.0,0.9,2.5,6.9
456,Max Strus\strusma01,SF,24,MIA,29,0,12.5,2.1,4.4,.473,1.3,3.6,.365,0.8,0.9,.920,.620,0.4,0.6,.647,0.1,0.8,0.9,0.6,0.2,0.0,0.1,1.1,5.9
457,Edmond Sumner\sumneed01,SG,25,IND,42,14,14.3,2.4,4.6,.521,0.6,1.5,.375,1.8,3.0,.594,.583,1.1,1.4,.793,0.4,1.2,1.6,0.7,0.6,0.2,0.9,1.4,6.4
458,Jae'Sean Tate\tateja01,SF,25,HOU,56,44,28.9,4.4,8.4,.523,0.8,2.6,.308,3.6,5.8,.620,.571,1.4,2.0,.730,2.0,3.4,5.4,2.1,1.2,0.6,1.2,3.1,11.0
459,Jayson Tatum\tatumja01,SF,22,BOS,50,50,35.5,9.3,20.3,.458,2.9,7.5,.384,6.4,12.8,.501,.529,4.1,4.7,.873,0.7,6.4,7.1,4.2,1.2,0.4,2.5,1.8,25.6
460,Jeff Teague\teaguje01,PG,32,TOT,42,6,18.2,2.3,5.5,.426,0.7,1.6,.441,1.6,3.9,.420,.491,1.6,1.9,.852,0.3,1.4,1.6,2.4,0.6,0.2,1.1,1.2,7.0
460,Jeff Teague\teaguje01,PG,32,BOS,34,5,18.1,2.3,5.5,.415,0.8,1.6,.464,1.5,3.9,.394,.484,1.5,1.8,.836,0.3,1.4,1.7,2.1,0.8,0.2,1.1,1.3,6.9
460,Jeff Teague\teaguje01,PG,32,MIL,8,1,18.4,2.5,5.3,.476,0.5,1.5,.333,2.0,3.8,.533,.524,2.3,2.5,.900,0.1,1.3,1.4,3.5,0.1,0.4,0.8,1.0,7.8
461,Garrett Temple\templga01,SG,34,CHI,39,13,26.6,2.9,6.9,.424,1.2,3.6,.333,1.7,3.3,.523,.511,0.8,1.0,.816,0.5,2.4,2.9,2.0,0.9,0.5,1.0,2.3,7.8
462,Tyrell Terry\terryty01,PG,20,DAL,11,0,5.1,0.5,1.5,.313,0.0,0.6,.000,0.5,0.8,.556,.313,0.1,0.3,.333,0.0,0.5,0.5,0.5,0.5,0.0,0.2,0.2,1.0
463,Daniel Theis\theisda01,C,28,TOT,52,38,24.1,3.8,6.9,.553,0.7,2.3,.325,3.1,4.7,.663,.606,1.1,1.7,.652,1.3,3.9,5.2,1.7,0.6,0.9,1.0,2.6,9.5
463,Daniel Theis\theisda01,C,28,BOS,42,37,24.5,3.8,6.9,.552,0.8,2.3,.347,3.0,4.6,.653,.609,1.1,1.6,.687,1.3,4.0,5.2,1.6,0.6,1.0,1.0,2.9,9.5
463,Daniel Theis\theisda01,C,28,CHI,10,1,22.8,4.0,7.2,.556,0.5,2.2,.227,3.5,5.0,.700,.590,1.2,2.2,.545,1.2,3.6,4.8,2.0,0.5,0.6,1.1,1.5,9.7
464,Brodric Thomas\thomabr01,SG,24,TOT,18,1,8.9,0.8,2.7,.292,0.3,1.4,.192,0.5,1.2,.409,.344,1.0,1.3,.783,0.2,0.8,1.0,0.8,0.4,0.3,0.7,1.0,2.8
464,Brodric Thomas\thomabr01,SG,24,HOU,4,0,6.0,0.5,1.8,.286,0.3,1.5,.167,0.3,0.3,1.000,.357,1.3,1.8,.714,0.3,0.8,1.0,1.0,0.3,0.3,1.0,1.3,2.5
464,Brodric Thomas\thomabr01,SG,24,CLE,14,1,9.7,0.9,2.9,.293,0.3,1.4,.200,0.6,1.5,.381,.341,0.9,1.1,.813,0.1,0.9,1.0,0.7,0.4,0.3,0.6,0.9,2.9
465,Isaiah Thomas\thomais02,PG,31,NOP,3,0,16.0,3.0,9.0,.333,1.0,4.0,.250,2.0,5.0,.400,.389,0.7,0.7,1.000,0.3,1.0,1.3,1.7,0.3,0.0,2.0,1.0,7.7
466,Matt Thomas\thomama02,SG,26,TOT,32,0,7.7,1.0,2.8,.352,0.6,1.9,.328,0.3,0.8,.407,.466,0.2,0.2,.857,0.1,0.8,0.9,0.4,0.1,0.0,0.3,0.4,2.8
466,Matt Thomas\thomama02,SG,26,TOR,26,0,7.4,0.9,2.4,.387,0.7,1.6,.415,0.3,0.8,.333,.524,0.2,0.3,.857,0.1,0.7,0.8,0.3,0.1,0.0,0.2,0.4,2.7
